female,age,education,ln_wage
1,53,PhD,3.8210036070409776
1,43,MA,3.592497032997634
0,49,MA,3.8503272546022442
0,56,MA,3.686376323895818
0,47,PhD,3.7266183006142044
1,37,MA,3.4011973816621555
1,40,MA,3.503152104185149
1,37,MA,3.179646311676199
0,37,PhD,3.710280068654017
1,34,MA,4.172905403242624
1,30,MA,2.9565027603619893
1,32,MA,3.0841801183295825
1,54,MA,2.9675613965872945
1,62,MA,3.5063078660647724
0,49,MA,3.649358695951653
1,37,MA,3.8215073136753697
1,41,MA,3.3619713351613183
1,52,MA,3.320830547391194
1,50,MA,2.995732273553991
0,42,MA,3.4420193761824107
1,36,MA,3.3612430661551227
0,46,MA,4.021218159453542
1,33,MA,3.516124491189194
1,39,MA,3.1790949548563563
0,29,MA,3.6496534076130995
1,59,MA,3.530030253505124
0,34,MA,3.027715319407042
0,44,Professional,4.1196589327004824
1,24,MA,3.597996957636763
1,53,MA,3.8727622914748436
1,48,MA,3.2188758248682006
1,24,MA,3.598359657082661
1,47,MA,3.8607297110405954
1,33,MA,3.764965627067767
0,30,Professional,2.598979106047848
1,32,Professional,2.7736298467481917
1,56,MA,2.984671326194566
0,49,Professional,3.3044417131978476
1,49,Professional,2.832232471000624
1,28,MA,3.912023005428146
1,61,MA,3.0565921618107534
1,37,MA,3.6984460479831482
1,35,MA,2.9444389791664403
1,40,Professional,2.919469534003095
1,42,MA,3.3064014840065075
0,42,PhD,3.9635522719720773
0,33,MA,3.416460308328068
1,36,Professional,2.762109001284397
1,52,MA,2.782155316108993
1,59,MA,3.6984460479831482
1,45,MA,2.665964782535183
0,39,MA,3.479700443150099
1,56,MA,3.8607297110405954
1,43,MA,3.58351893845611
0,31,MA,2.5998337593150387
1,32,MA,2.5649493574615367
1,60,MA,3.249179980332966
0,60,Professional,3.098247837079586
1,26,MA,3.138822006021824
1,36,MA,3.552020271396739
0,40,MA,3.8512922609596254
0,29,PhD,3.2188758248682006
1,26,MA,2.7359895697914514
0,40,MA,3.6931425763038344
0,42,MA,4.27826553371462
0,59,MA,3.280751228586288
0,33,MA,3.7335360870017613
1,35,Professional,3.2854955122095966
0,47,MA,3.87720149048611
1,58,MA,3.2379232651216294
1,30,MA,2.7880929087757464
1,40,MA,3.516124491189194
0,39,MA,3.584906863730958
0,55,MA,2.733367009086
1,56,MA,2.9565027603619893
0,38,MA,3.521643534738023
0,32,MA,2.598979106047848
1,31,PhD,2.667228206581955
1,35,MA,3.328070978893597
1,42,MA,3.624340932976365
1,34,MA,2.7880929087757464
1,62,MA,3.624340932976365
0,44,PhD,3.0167596407460664
0,36,MA,3.937339813411936
0,53,MA,3.521643534738023
1,43,MA,2.8779492378976075
1,31,MA,2.9156062290747062
0,25,MA,2.5649493574615367
1,44,MA,3.6088346631048966
0,59,MA,3.138388573955514
0,61,MA,3.8860440102468
1,29,MA,2.782155316108993
0,40,Professional,3.138099514840913
0,54,MA,3.7186497457791976
1,51,MA,2.0149030205422647
1,25,Professional,2.040217971379616
0,43,MA,3.8215073136753697
1,44,MA,2.2622837962205202
1,63,MA,3.624340932976365
1,35,Professional,3.4011973816621555
0,63,PhD,3.4420193761824107
0,34,Professional,3.949761851928414
1,41,Professional,3.4489827121509484
1,44,MA,3.8204558119026557
1,27,MA,2.963131599507909
1,30,MA,3.005298867423203
1,34,MA,2.3758355547336385
1,27,PhD,2.733360509058375
